"country","continent","year","lifeExp","pop","gdpPercap"
"Afghanistan","Asia",1952,28.801,8.42533e+06,779.445
"Afghanistan","Asia",1957,30.332,9.24093e+06,820.853
"Afghanistan","Asia",1962,31.997,1.02671e+07,853.101
"Afghanistan","Asia",1967,34.02,1.1538e+07,836.197
"Afghanistan","Asia",1972,36.088,1.30795e+07,739.981
"Afghanistan","Asia",1977,38.438,1.48804e+07,786.113
"Afghanistan","Asia",1982,39.854,1.28818e+07,978.011
"Afghanistan","Asia",1987,40.822,1.3868e+07,852.396
"Afghanistan","Asia",1992,41.674,1.63179e+07,649.341
"Afghanistan","Asia",1997,41.763,2.22274e+07,635.341
"Afghanistan","Asia",2002,42.129,2.52684e+07,726.734
"Afghanistan","Asia",2007,43.828,3.18899e+07,974.58
"Albania","Europe",1952,55.23,1.2827e+06,1601.06
"Albania","Europe",1957,59.28,1.4765e+06,1942.28
"Albania","Europe",1962,64.82,1.72814e+06,2312.89
"Albania","Europe",1967,66.22,1.98406e+06,2760.2
"Albania","Europe",1972,67.69,2.26355e+06,3313.42
"Albania","Europe",1977,68.93,2.50905e+06,3533
"Albania","Europe",1982,70.42,2.7801e+06,3630.88
"Albania","Europe",1987,72,3.07532e+06,3738.93
"Albania","Europe",1992,71.581,3.3265e+06,2497.44
"Albania","Europe",1997,72.95,3.42804e+06,3193.05
"Albania","Europe",2002,75.651,3.50851e+06,4604.21
"Albania","Europe",2007,76.423,3.60052e+06,5937.03
"Algeria","Africa",1952,43.077,9.27952e+06,2449.01
"Algeria","Africa",1957,45.685,1.02709e+07,3013.98
"Algeria","Africa",1962,48.303,1.10009e+07,2550.82
"Algeria","Africa",1967,51.407,1.27605e+07,3246.99
"Algeria","Africa",1972,54.518,1.47608e+07,4182.66
"Algeria","Africa",1977,58.014,1.71528e+07,4910.42
"Algeria","Africa",1982,61.368,2.00338e+07,5745.16
"Algeria","Africa",1987,65.799,2.3255e+07,5681.36
"Algeria","Africa",1992,67.744,2.62984e+07,5023.22
"Algeria","Africa",1997,69.152,2.9072e+07,4797.3
"Algeria","Africa",2002,70.994,3.12871e+07,5288.04
"Algeria","Africa",2007,72.301,3.33332e+07,6223.37
"Angola","Africa",1952,30.015,4.2321e+06,3520.61
"Angola","Africa",1957,31.999,4.56136e+06,3827.94
"Angola","Africa",1962,34,4.82602e+06,4269.28
"Angola","Africa",1967,35.985,5.24747e+06,5522.78
"Angola","Africa",1972,37.928,5.89486e+06,5473.29
"Angola","Africa",1977,39.483,6.16268e+06,3008.65
"Angola","Africa",1982,39.942,7.01638e+06,2756.95
"Angola","Africa",1987,39.906,7.87423e+06,2430.21
"Angola","Africa",1992,40.647,8.73599e+06,2627.85
"Angola","Africa",1997,40.963,9.87502e+06,2277.14
"Angola","Africa",2002,41.003,1.08661e+07,2773.29
"Angola","Africa",2007,42.731,1.24205e+07,4797.23
"Argentina","Americas",1952,62.485,1.7877e+07,5911.32
"Argentina","Americas",1957,64.399,1.96105e+07,6856.86
"Argentina","Americas",1962,65.142,2.12838e+07,7133.17
"Argentina","Americas",1967,65.634,2.29342e+07,8052.95
"Argentina","Americas",1972,67.065,2.47798e+07,9443.04
"Argentina","Americas",1977,68.481,2.69838e+07,10079
"Argentina","Americas",1982,69.942,2.93414e+07,8997.9
"Argentina","Americas",1987,70.774,3.16209e+07,9139.67
"Argentina","Americas",1992,71.868,3.39589e+07,9308.42
"Argentina","Americas",1997,73.275,3.62035e+07,10967.3
"Argentina","Americas",2002,74.34,3.83311e+07,8797.64
"Argentina","Americas",2007,75.32,4.03019e+07,12779.4
"Australia","Oceania",1952,69.12,8.69121e+06,10039.6
"Australia","Oceania",1957,70.33,9.71257e+06,10949.6
"Australia","Oceania",1962,70.93,1.0795e+07,12217.2
"Australia","Oceania",1967,71.1,1.18723e+07,14526.1
"Australia","Oceania",1972,71.93,1.3177e+07,16788.6
"Australia","Oceania",1977,73.49,1.40741e+07,18334.2
"Australia","Oceania",1982,74.74,1.51842e+07,19477
"Australia","Oceania",1987,76.32,1.62572e+07,21888.9
"Australia","Oceania",1992,77.56,1.7482e+07,23424.8
"Australia","Oceania",1997,78.83,1.85652e+07,26997.9
"Australia","Oceania",2002,80.37,1.95468e+07,30687.8
"Australia","Oceania",2007,81.235,2.04342e+07,34435.4
"Austria","Europe",1952,66.8,6.92777e+06,6137.08
"Austria","Europe",1957,67.48,6.96586e+06,8842.6
"Austria","Europe",1962,69.54,7.12986e+06,10750.7
"Austria","Europe",1967,70.14,7.377e+06,12834.6
"Austria","Europe",1972,70.63,7.5442e+06,16661.6
"Austria","Europe",1977,72.17,7.56843e+06,19749.4
"Austria","Europe",1982,73.18,7.57461e+06,21597.1
"Austria","Europe",1987,74.94,7.5789e+06,23687.8
"Austria","Europe",1992,76.04,7.91497e+06,27042
"Austria","Europe",1997,77.51,8.06988e+06,29095.9
"Austria","Europe",2002,78.98,8.14831e+06,32417.6
"Austria","Europe",2007,79.829,8.19978e+06,36126.5
"Bahrain","Asia",1952,50.939,120447,9867.08
"Bahrain","Asia",1957,53.832,138655,11635.8
"Bahrain","Asia",1962,56.923,171863,12753.3
"Bahrain","Asia",1967,59.923,202182,14804.7
"Bahrain","Asia",1972,63.3,230800,18268.7
"Bahrain","Asia",1977,65.593,297410,19340.1
"Bahrain","Asia",1982,69.052,377967,19211.1
"Bahrain","Asia",1987,70.75,454612,18524
"Bahrain","Asia",1992,72.601,529491,19035.6
"Bahrain","Asia",1997,73.925,598561,20292
"Bahrain","Asia",2002,74.795,656397,23403.6
"Bahrain","Asia",2007,75.635,708573,29796
"Bangladesh","Asia",1952,37.484,4.68869e+07,684.244
"Bangladesh","Asia",1957,39.348,5.13655e+07,661.637
"Bangladesh","Asia",1962,41.216,5.68393e+07,686.342
"Bangladesh","Asia",1967,43.453,6.28219e+07,721.186
"Bangladesh","Asia",1972,45.252,7.07593e+07,630.234
"Bangladesh","Asia",1977,46.923,8.04283e+07,659.877
"Bangladesh","Asia",1982,50.009,9.30744e+07,676.982
"Bangladesh","Asia",1987,52.819,1.03764e+08,751.979
"Bangladesh","Asia",1992,56.018,1.13705e+08,837.81
"Bangladesh","Asia",1997,59.412,1.23315e+08,972.77
"Bangladesh","Asia",2002,62.013,1.35657e+08,1136.39
"Bangladesh","Asia",2007,64.062,1.50448e+08,1391.25
"Belgium","Europe",1952,68,8.7304e+06,8343.11
"Belgium","Europe",1957,69.24,8.98911e+06,9714.96
"Belgium","Europe",1962,70.25,9.2184e+06,10991.2
"Belgium","Europe",1967,70.94,9.5565e+06,13149
"Belgium","Europe",1972,71.44,9.7091e+06,16672.1
"Belgium","Europe",1977,72.8,9.8218e+06,19118
"Belgium","Europe",1982,73.93,9.8563e+06,20979.8
"Belgium","Europe",1987,75.35,9.8702e+06,22525.6
"Belgium","Europe",1992,76.46,1.00456e+07,25575.6
"Belgium","Europe",1997,77.53,1.01998e+07,27561.2
"Belgium","Europe",2002,78.32,1.0312e+07,30485.9
"Belgium","Europe",2007,79.441,1.03922e+07,33692.6
"Benin","Africa",1952,38.223,1.73832e+06,1062.75
"Benin","Africa",1957,40.358,1.92517e+06,959.601
"Benin","Africa",1962,42.618,2.1519e+06,949.499
"Benin","Africa",1967,44.885,2.42733e+06,1035.83
"Benin","Africa",1972,47.014,2.76141e+06,1085.8
"Benin","Africa",1977,49.19,3.16827e+06,1029.16
"Benin","Africa",1982,50.904,3.6416e+06,1277.9
"Benin","Africa",1987,52.337,4.24379e+06,1225.86
"Benin","Africa",1992,53.919,4.98167e+06,1191.21
"Benin","Africa",1997,54.777,6.06608e+06,1232.98
"Benin","Africa",2002,54.406,7.02611e+06,1372.88
"Benin","Africa",2007,56.728,8.07831e+06,1441.28
"Bolivia","Americas",1952,40.414,2.88332e+06,2677.33
"Bolivia","Americas",1957,41.89,3.21174e+06,2127.69
"Bolivia","Americas",1962,43.428,3.59392e+06,2180.97
"Bolivia","Americas",1967,45.032,4.04066e+06,2586.89
"Bolivia","Americas",1972,46.714,4.56587e+06,2980.33
"Bolivia","Americas",1977,50.023,5.07972e+06,3548.1
"Bolivia","Americas",1982,53.859,5.64222e+06,3156.51
"Bolivia","Americas",1987,57.251,6.15637e+06,2753.69
"Bolivia","Americas",1992,59.957,6.89345e+06,2961.7
"Bolivia","Americas",1997,62.05,7.69319e+06,3326.14
"Bolivia","Americas",2002,63.883,8.44513e+06,3413.26
"Bolivia","Americas",2007,65.554,9.11915e+06,3822.14
"Bosnia and Herzegovina","Europe",1952,53.82,2.791e+06,973.533
"Bosnia and Herzegovina","Europe",1957,58.45,3.076e+06,1353.99
"Bosnia and Herzegovina","Europe",1962,61.93,3.349e+06,1709.68
"Bosnia and Herzegovina","Europe",1967,64.79,3.585e+06,2172.35
"Bosnia and Herzegovina","Europe",1972,67.45,3.819e+06,2860.17
"Bosnia and Herzegovina","Europe",1977,69.86,4.086e+06,3528.48
"Bosnia and Herzegovina","Europe",1982,70.69,4.17269e+06,4126.61
"Bosnia and Herzegovina","Europe",1987,71.14,4.33898e+06,4314.11
"Bosnia and Herzegovina","Europe",1992,72.178,4.25601e+06,2546.78
"Bosnia and Herzegovina","Europe",1997,73.244,3.607e+06,4766.36
"Bosnia and Herzegovina","Europe",2002,74.09,4.16542e+06,6018.98
"Bosnia and Herzegovina","Europe",2007,74.852,4.5522e+06,7446.3
"Botswana","Africa",1952,47.622,442308,851.241
"Botswana","Africa",1957,49.618,474639,918.233
"Botswana","Africa",1962,51.52,512764,983.654
"Botswana","Africa",1967,53.298,553541,1214.71
"Botswana","Africa",1972,56.024,619351,2263.61
"Botswana","Africa",1977,59.319,781472,3214.86
"Botswana","Africa",1982,61.484,970347,4551.14
"Botswana","Africa",1987,63.622,1.15118e+06,6205.88
"Botswana","Africa",1992,62.745,1.34261e+06,7954.11
"Botswana","Africa",1997,52.556,1.53654e+06,8647.14
"Botswana","Africa",2002,46.634,1.63035e+06,11003.6
"Botswana","Africa",2007,50.728,1.63913e+06,12569.9
"Brazil","Americas",1952,50.917,5.66026e+07,2108.94
"Brazil","Americas",1957,53.285,6.55512e+07,2487.37
"Brazil","Americas",1962,55.665,7.60394e+07,3336.59
"Brazil","Americas",1967,57.632,8.80498e+07,3429.86
"Brazil","Americas",1972,59.504,1.0084e+08,4985.71
"Brazil","Americas",1977,61.489,1.14314e+08,6660.12
"Brazil","Americas",1982,63.336,1.28963e+08,7030.84
"Brazil","Americas",1987,65.205,1.42938e+08,7807.1
"Brazil","Americas",1992,67.057,1.55976e+08,6950.28
"Brazil","Americas",1997,69.388,1.68547e+08,7957.98
"Brazil","Americas",2002,71.006,1.79914e+08,8131.21
"Brazil","Americas",2007,72.39,1.90011e+08,9065.8
"Bulgaria","Europe",1952,59.6,7.2749e+06,2444.29
"Bulgaria","Europe",1957,66.61,7.65125e+06,3008.67
"Bulgaria","Europe",1962,69.51,8.01295e+06,4254.34
"Bulgaria","Europe",1967,70.42,8.31023e+06,5577
"Bulgaria","Europe",1972,70.9,8.5762e+06,6597.49
"Bulgaria","Europe",1977,70.81,8.79702e+06,7612.24
"Bulgaria","Europe",1982,71.08,8.8921e+06,8224.19
"Bulgaria","Europe",1987,71.34,8.97196e+06,8239.85
"Bulgaria","Europe",1992,71.19,8.65851e+06,6302.62
"Bulgaria","Europe",1997,70.32,8.06606e+06,5970.39
"Bulgaria","Europe",2002,72.14,7.6618e+06,7696.78
"Bulgaria","Europe",2007,73.005,7.32286e+06,10680.8
"Burkina Faso","Africa",1952,31.975,4.46998e+06,543.255
"Burkina Faso","Africa",1957,34.906,4.71342e+06,617.183
"Burkina Faso","Africa",1962,37.814,4.91963e+06,722.512
"Burkina Faso","Africa",1967,40.697,5.12794e+06,794.827
"Burkina Faso","Africa",1972,43.591,5.43389e+06,854.736
"Burkina Faso","Africa",1977,46.137,5.88957e+06,743.387
"Burkina Faso","Africa",1982,48.122,6.6346e+06,807.199
"Burkina Faso","Africa",1987,49.557,7.58655e+06,912.063
"Burkina Faso","Africa",1992,50.26,8.8783e+06,931.753
"Burkina Faso","Africa",1997,50.324,1.03528e+07,946.295
"Burkina Faso","Africa",2002,50.65,1.22512e+07,1037.65
"Burkina Faso","Africa",2007,52.295,1.43262e+07,1217.03
"Burundi","Africa",1952,39.031,2.44562e+06,339.296
"Burundi","Africa",1957,40.533,2.66752e+06,379.565
"Burundi","Africa",1962,42.045,2.96192e+06,355.203
"Burundi","Africa",1967,43.548,3.33099e+06,412.978
"Burundi","Africa",1972,44.057,3.52998e+06,464.1
"Burundi","Africa",1977,45.91,3.83442e+06,556.103
"Burundi","Africa",1982,47.471,4.58041e+06,559.603
"Burundi","Africa",1987,48.211,5.12602e+06,621.819
"Burundi","Africa",1992,44.736,5.80924e+06,631.7
"Burundi","Africa",1997,45.326,6.12161e+06,463.115
"Burundi","Africa",2002,47.36,7.02108e+06,446.404
"Burundi","Africa",2007,49.58,8.3905e+06,430.071
"Cambodia","Asia",1952,39.417,4.69384e+06,368.469
"Cambodia","Asia",1957,41.366,5.32254e+06,434.038
"Cambodia","Asia",1962,43.415,6.08362e+06,496.914
"Cambodia","Asia",1967,45.415,6.96007e+06,523.432
"Cambodia","Asia",1972,40.317,7.45061e+06,421.624
"Cambodia","Asia",1977,31.22,6.97861e+06,524.972
"Cambodia","Asia",1982,50.957,7.27248e+06,624.475
"Cambodia","Asia",1987,53.914,8.37179e+06,683.896
"Cambodia","Asia",1992,55.803,1.01501e+07,682.303
"Cambodia","Asia",1997,56.534,1.1783e+07,734.285
"Cambodia","Asia",2002,56.752,1.29267e+07,896.226
"Cambodia","Asia",2007,59.723,1.41319e+07,1713.78
"Cameroon","Africa",1952,38.523,5.00907e+06,1172.67
"Cameroon","Africa",1957,40.428,5.35992e+06,1313.05
"Cameroon","Africa",1962,42.643,5.79363e+06,1399.61
"Cameroon","Africa",1967,44.799,6.33551e+06,1508.45
"Cameroon","Africa",1972,47.049,7.02103e+06,1684.15
"Cameroon","Africa",1977,49.355,7.95986e+06,1783.43
"Cameroon","Africa",1982,52.961,9.25083e+06,2367.98
"Cameroon","Africa",1987,54.985,1.07807e+07,2602.66
"Cameroon","Africa",1992,54.314,1.24672e+07,1793.16
"Cameroon","Africa",1997,52.199,1.41958e+07,1694.34
"Cameroon","Africa",2002,49.856,1.593e+07,1934.01
"Cameroon","Africa",2007,50.43,1.76963e+07,2042.1
"Canada","Americas",1952,68.75,1.47856e+07,11367.2
"Canada","Americas",1957,69.96,1.70102e+07,12490
"Canada","Americas",1962,71.3,1.89858e+07,13462.5
"Canada","Americas",1967,72.13,2.08198e+07,16076.6
"Canada","Americas",1972,72.88,2.22845e+07,18970.6
"Canada","Americas",1977,74.21,2.37964e+07,22090.9
"Canada","Americas",1982,75.76,2.52019e+07,22898.8
"Canada","Americas",1987,76.86,2.65497e+07,26626.5
"Canada","Americas",1992,77.95,2.85235e+07,26342.9
"Canada","Americas",1997,78.61,3.03058e+07,28954.9
"Canada","Americas",2002,79.77,3.19023e+07,33329
"Canada","Americas",2007,80.653,3.33901e+07,36319.2
"Central African Republic","Africa",1952,35.463,1.2917e+06,1071.31
"Central African Republic","Africa",1957,37.464,1.39228e+06,1190.84
"Central African Republic","Africa",1962,39.475,1.52348e+06,1193.07
"Central African Republic","Africa",1967,41.478,1.73364e+06,1136.06
"Central African Republic","Africa",1972,43.457,1.92726e+06,1070.01
"Central African Republic","Africa",1977,46.775,2.16753e+06,1109.37
"Central African Republic","Africa",1982,48.295,2.47697e+06,956.753
"Central African Republic","Africa",1987,50.485,2.84001e+06,844.876
"Central African Republic","Africa",1992,49.396,3.26512e+06,747.906
"Central African Republic","Africa",1997,46.066,3.69651e+06,740.506
"Central African Republic","Africa",2002,43.308,4.04801e+06,738.691
"Central African Republic","Africa",2007,44.741,4.36904e+06,706.017
"Chad","Africa",1952,38.092,2.68246e+06,1178.67
"Chad","Africa",1957,39.881,2.89486e+06,1308.5
"Chad","Africa",1962,41.716,3.15042e+06,1389.82
"Chad","Africa",1967,43.601,3.49597e+06,1196.81
"Chad","Africa",1972,45.569,3.89907e+06,1104.1
"Chad","Africa",1977,47.383,4.38826e+06,1133.98
"Chad","Africa",1982,49.517,4.87512e+06,797.908
"Chad","Africa",1987,51.051,5.49896e+06,952.386
"Chad","Africa",1992,51.724,6.42942e+06,1058.06
"Chad","Africa",1997,51.573,7.56201e+06,1004.96
"Chad","Africa",2002,50.525,8.83574e+06,1156.18
"Chad","Africa",2007,50.651,1.02388e+07,1704.06
"Chile","Americas",1952,54.745,6.37762e+06,3939.98
"Chile","Americas",1957,56.074,7.04843e+06,4315.62
"Chile","Americas",1962,57.924,7.96126e+06,4519.09
"Chile","Americas",1967,60.523,8.85891e+06,5106.65
"Chile","Americas",1972,63.441,9.71752e+06,5494.02
"Chile","Americas",1977,67.052,1.05998e+07,4756.76
"Chile","Americas",1982,70.565,1.14871e+07,5095.67
"Chile","Americas",1987,72.492,1.24634e+07,5547.06
"Chile","Americas",1992,74.126,1.3573e+07,7596.13
"Chile","Americas",1997,75.816,1.45999e+07,10118.1
"Chile","Americas",2002,77.86,1.5497e+07,10778.8
"Chile","Americas",2007,78.553,1.62847e+07,13171.6
"China","Asia",1952,44,5.56264e+08,400.449
"China","Asia",1957,50.549,6.37408e+08,575.987
"China","Asia",1962,44.5014,6.6577e+08,487.674
"China","Asia",1967,58.3811,7.5455e+08,612.706
"China","Asia",1972,63.1189,8.6203e+08,676.9
"China","Asia",1977,63.9674,9.43455e+08,741.237
"China","Asia",1982,65.525,1.00028e+09,962.421
"China","Asia",1987,67.274,1.08404e+09,1378.9
"China","Asia",1992,68.69,1.16497e+09,1655.78
"China","Asia",1997,70.426,1.23008e+09,2289.23
"China","Asia",2002,72.028,1.2804e+09,3119.28
"China","Asia",2007,72.961,1.31868e+09,4959.11
"Colombia","Americas",1952,50.643,1.23508e+07,2144.12
"Colombia","Americas",1957,55.118,1.4486e+07,2323.81
"Colombia","Americas",1962,57.863,1.70099e+07,2492.35
"Colombia","Americas",1967,59.963,1.9764e+07,2678.73
"Colombia","Americas",1972,61.623,2.25429e+07,3264.66
"Colombia","Americas",1977,63.837,2.50944e+07,3815.81
"Colombia","Americas",1982,66.653,2.77646e+07,4397.58
"Colombia","Americas",1987,67.768,3.09642e+07,4903.22
"Colombia","Americas",1992,68.421,3.42027e+07,5444.65
"Colombia","Americas",1997,70.313,3.76578e+07,6117.36
"Colombia","Americas",2002,71.682,4.10082e+07,5755.26
"Colombia","Americas",2007,72.889,4.42276e+07,7006.58
"Comoros","Africa",1952,40.715,153936,1102.99
"Comoros","Africa",1957,42.46,170928,1211.15
"Comoros","Africa",1962,44.467,191689,1406.65
"Comoros","Africa",1967,46.472,217378,1876.03
"Comoros","Africa",1972,48.944,250027,1937.58
"Comoros","Africa",1977,50.939,304739,1172.6
"Comoros","Africa",1982,52.933,348643,1267.1
"Comoros","Africa",1987,54.926,395114,1315.98
"Comoros","Africa",1992,57.939,454429,1246.91
"Comoros","Africa",1997,60.66,527982,1173.62
"Comoros","Africa",2002,62.974,614382,1075.81
"Comoros","Africa",2007,65.152,710960,986.148
"Congo, Dem. Rep.","Africa",1952,39.143,1.41e+07,780.542
"Congo, Dem. Rep.","Africa",1957,40.652,1.55779e+07,905.86
"Congo, Dem. Rep.","Africa",1962,42.122,1.74864e+07,896.315
"Congo, Dem. Rep.","Africa",1967,44.056,1.99411e+07,861.593
"Congo, Dem. Rep.","Africa",1972,45.989,2.30077e+07,904.896
"Congo, Dem. Rep.","Africa",1977,47.804,2.64809e+07,795.757
"Congo, Dem. Rep.","Africa",1982,47.784,3.06465e+07,673.748
"Congo, Dem. Rep.","Africa",1987,47.412,3.54816e+07,672.775
"Congo, Dem. Rep.","Africa",1992,45.548,4.16721e+07,457.719
"Congo, Dem. Rep.","Africa",1997,42.587,4.7799e+07,312.188
"Congo, Dem. Rep.","Africa",2002,44.966,5.53799e+07,241.166
"Congo, Dem. Rep.","Africa",2007,46.462,6.46068e+07,277.552
"Congo, Rep.","Africa",1952,42.111,854885,2125.62
"Congo, Rep.","Africa",1957,45.053,940458,2315.06
"Congo, Rep.","Africa",1962,48.435,1.04792e+06,2464.78
"Congo, Rep.","Africa",1967,52.04,1.17976e+06,2677.94
"Congo, Rep.","Africa",1972,54.907,1.34046e+06,3213.15
"Congo, Rep.","Africa",1977,55.625,1.53677e+06,3259.18
"Congo, Rep.","Africa",1982,56.695,1.77474e+06,4879.51
"Congo, Rep.","Africa",1987,57.47,2.0641e+06,4201.19
"Congo, Rep.","Africa",1992,56.433,2.40907e+06,4016.24
"Congo, Rep.","Africa",1997,52.962,2.80095e+06,3484.16
"Congo, Rep.","Africa",2002,52.97,3.3288e+06,3484.06
"Congo, Rep.","Africa",2007,55.322,3.80061e+06,3632.56
"Costa Rica","Americas",1952,57.206,926317,2627.01
"Costa Rica","Americas",1957,60.026,1.1123e+06,2990.01
"Costa Rica","Americas",1962,62.842,1.34519e+06,3460.94
"Costa Rica","Americas",1967,65.424,1.58872e+06,4161.73
"Costa Rica","Americas",1972,67.849,1.8348e+06,5118.15
"Costa Rica","Americas",1977,70.75,2.10846e+06,5926.88
"Costa Rica","Americas",1982,73.45,2.42437e+06,5262.73
"Costa Rica","Americas",1987,74.752,2.79981e+06,5629.92
"Costa Rica","Americas",1992,75.713,3.17322e+06,6160.42
"Costa Rica","Americas",1997,77.26,3.51811e+06,6677.05
"Costa Rica","Americas",2002,78.123,3.83493e+06,7723.45
"Costa Rica","Americas",2007,78.782,4.13388e+06,9645.06
"Cote d'Ivoire","Africa",1952,40.477,2.97702e+06,1388.59
"Cote d'Ivoire","Africa",1957,42.469,3.3e+06,1500.9
"Cote d'Ivoire","Africa",1962,44.93,3.83241e+06,1728.87
"Cote d'Ivoire","Africa",1967,47.35,4.74487e+06,2052.05
"Cote d'Ivoire","Africa",1972,49.801,6.0717e+06,2378.2
"Cote d'Ivoire","Africa",1977,52.374,7.45957e+06,2517.74
"Cote d'Ivoire","Africa",1982,53.983,9.02595e+06,2602.71
"Cote d'Ivoire","Africa",1987,54.655,1.07611e+07,2156.96
"Cote d'Ivoire","Africa",1992,52.044,1.27726e+07,1648.07
"Cote d'Ivoire","Africa",1997,47.991,1.4626e+07,1786.27
"Cote d'Ivoire","Africa",2002,46.832,1.62527e+07,1648.8
"Cote d'Ivoire","Africa",2007,48.328,1.80134e+07,1544.75
"Croatia","Europe",1952,61.21,3.88223e+06,3119.24
"Croatia","Europe",1957,64.77,3.99124e+06,4338.23
"Croatia","Europe",1962,67.13,4.07656e+06,5477.89
"Croatia","Europe",1967,68.5,4.17437e+06,6960.3
"Croatia","Europe",1972,69.61,4.22531e+06,9164.09
"Croatia","Europe",1977,70.64,4.31867e+06,11305.4
"Croatia","Europe",1982,70.46,4.41337e+06,13221.8
"Croatia","Europe",1987,71.52,4.48431e+06,13822.6
"Croatia","Europe",1992,72.527,4.49401e+06,8447.79
"Croatia","Europe",1997,73.68,4.4446e+06,9875.6
"Croatia","Europe",2002,74.876,4.48102e+06,11628.4
"Croatia","Europe",2007,75.748,4.49331e+06,14619.2
"Cuba","Americas",1952,59.421,6.0078e+06,5586.54
"Cuba","Americas",1957,62.325,6.64075e+06,6092.17
"Cuba","Americas",1962,65.246,7.25437e+06,5180.76
"Cuba","Americas",1967,68.29,8.13933e+06,5690.27
"Cuba","Americas",1972,70.723,8.83135e+06,5305.45
"Cuba","Americas",1977,72.649,9.53799e+06,6380.49
"Cuba","Americas",1982,73.717,9.78922e+06,7316.92
"Cuba","Americas",1987,74.174,1.02398e+07,7532.92
"Cuba","Americas",1992,74.414,1.07233e+07,5592.84
"Cuba","Americas",1997,76.151,1.0983e+07,5431.99
"Cuba","Americas",2002,77.158,1.1227e+07,6340.65
"Cuba","Americas",2007,78.273,1.1417e+07,8948.1
"Czech Republic","Europe",1952,66.87,9.12518e+06,6876.14
"Czech Republic","Europe",1957,69.03,9.51376e+06,8256.34
"Czech Republic","Europe",1962,69.9,9.62028e+06,10136.9
"Czech Republic","Europe",1967,70.38,9.83511e+06,11399.4
"Czech Republic","Europe",1972,70.29,9.86216e+06,13108.5
"Czech Republic","Europe",1977,70.71,1.01619e+07,14800.2
"Czech Republic","Europe",1982,70.96,1.03037e+07,15377.2
"Czech Republic","Europe",1987,71.58,1.03116e+07,16310.4
"Czech Republic","Europe",1992,72.4,1.03157e+07,14297
"Czech Republic","Europe",1997,74.01,1.03007e+07,16048.5
"Czech Republic","Europe",2002,75.51,1.02563e+07,17596.2
"Czech Republic","Europe",2007,76.486,1.02287e+07,22833.3
"Denmark","Europe",1952,70.78,4.334e+06,9692.39
"Denmark","Europe",1957,71.81,4.48783e+06,11099.7
"Denmark","Europe",1962,72.35,4.6469e+06,13583.3
"Denmark","Europe",1967,72.96,4.8388e+06,15937.2
"Denmark","Europe",1972,73.47,4.9916e+06,18866.2
"Denmark","Europe",1977,74.69,5.08842e+06,20422.9
"Denmark","Europe",1982,74.63,5.11781e+06,21688
"Denmark","Europe",1987,74.8,5.12702e+06,25116.2
